"cell_line","identifier","fit_GR","agent","ctrl_cell_doublings","GR50","GRmax","Cell.Line","use_experiment","comment","Cell.Type","X..CA.cells","Centros..size..","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","CA_group","MN_group","SampleID","subtype","subtype2","details","group"
"A2780-ADR","A2780-ADR_exp6","sigmoid","gsk923295",0.569811764209518,14.6333527132537,-0.998935597835401,"A2780-ADR","exp6","noisy data","A2780-ADR",5.7050215,2.966829,6951.106,10.078185,0.012926867,0.005623052,"low","low","JBLAB-25696","unknown","unknown","CENPE","SAC component"
"CAOV3","CAOV3_exp3","sigmoid","oxaliplatin",2.42664639030706,61.3508691198902,0.296087059927996,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","Oxaliplatin","Alkylating agent"
"CAOV3","CAOV3_exp3","sigmoid","paclitaxel",2.42664639030706,5.39229789104264e-05,-0.0626076655741761,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","Paclitaxel","Antimicrotubule agent"
"CAOV3","CAOV3_exp3","sigmoid","alisertib",2.42664639030706,0.0241158279269332,-0.675745305945157,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","AURKA","Aurora kinase"
"CAOV3","CAOV3_exp3","sigmoid","barasertib",2.42664639030706,0.0216941537773584,-0.787621459062493,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","AURKB","Aurora kinase"
"CAOV3","CAOV3_exp3","sigmoid","tozasertib",2.42664639030706,0.048012582825985,-0.75148869107124,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","panAURK","Aurora kinase"
"CAOV3","CAOV3_exp3","sigmoid","cw069",2.42664639030706,50.216214223912,-0.509898007998454,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"CAOV3","CAOV3_exp3","sigmoid","bi2536",2.42664639030706,0.00928424350538407,-0.769921508511406,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","panPLK","Polo like kinase"
"CAOV3","CAOV3_exp3","sigmoid","cfi400945",2.42664639030706,0.0130159049564052,-0.710444018486841,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","PLK4","Polo like kinase"
"CAOV3","CAOV3_exp3","sigmoid","volasertib",2.42664639030706,0.0193018924638273,-0.775921720303495,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","PLK1","Polo like kinase"
"CAOV3","CAOV3_exp3","sigmoid","az3146",2.42664639030706,2.40445282648725,-0.721647609347438,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","TTK (MPS1)","SAC component"
"CAOV3","CAOV3_exp3","sigmoid","gsk923295",2.42664639030706,0.294881271893571,-0.773084865927395,"CAOV3","exp3","","CAOV3",37.7388576,2.896213,11436.27,16.471143,0.039959754,NA,"high","high","JBLAB-25691","HGSOC","HGSOC","CENPE","SAC component"
"COV318","COV318_exp2","sigmoid","oxaliplatin",2.37387688309862,216.839885656778,0.605186036904751,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","Oxaliplatin","Alkylating agent"
"COV318","COV318_exp2","sigmoid","paclitaxel",2.37387688309862,Inf,0.564108834457968,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","Paclitaxel","Antimicrotubule agent"
"COV318","COV318_exp2","sigmoid","alisertib",2.37387688309862,8.90451795895865,-0.231420295030782,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","AURKA","Aurora kinase"
"COV318","COV318_exp2","sigmoid","barasertib",2.37387688309862,293762.668913777,0.739738386690814,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","AURKB","Aurora kinase"
"COV318","COV318_exp2","sigmoid","tozasertib",2.37387688309862,24.412184544237,-0.613393953271038,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","panAURK","Aurora kinase"
"COV318","COV318_exp2","sigmoid","cw069",2.37387688309862,Inf,0.628925652279053,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"COV318","COV318_exp2","sigmoid","bi2536",2.37387688309862,0.741770004802117,-0.703211807984687,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","panPLK","Polo like kinase"
"COV318","COV318_exp2","sigmoid","cfi400945",2.37387688309862,12.5557587655324,-0.654395656164802,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","PLK4","Polo like kinase"
"COV318","COV318_exp2","sigmoid","volasertib",2.37387688309862,0.562519753950172,-0.694468842735034,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","PLK1","Polo like kinase"
"COV318","COV318_exp2","sigmoid","az3146",2.37387688309862,11.1082517411652,-0.674907570804828,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","TTK (MPS1)","SAC component"
"COV318","COV318_exp2","sigmoid","gsk923295",2.37387688309862,2.28150537412127,-0.656259476118356,"COV318","exp2","","COV318",49.7995509,2.936681,11138.345,30.322934,0.076629069,NA,"high","high","JBLAB-25674","HGSOC","HGSOC","CENPE","SAC component"
"COV413A","COV413A_exp6","sigmoid","oxaliplatin",0.257536889069454,9.87326208129221,-0.324553449943374,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","Oxaliplatin","Alkylating agent"
"COV413A","COV413A_exp6","sigmoid","paclitaxel",0.257536889069454,0.00027897265164294,-0.818399981179408,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","Paclitaxel","Antimicrotubule agent"
"COV413A","COV413A_exp6","sigmoid","alisertib",0.257536889069454,0.106294629145383,-0.999996350357389,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","AURKA","Aurora kinase"
"COV413A","COV413A_exp6","sigmoid","barasertib",0.257536889069454,0.0562368955013235,-0.987713861402664,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","AURKB","Aurora kinase"
"COV413A","COV413A_exp6","sigmoid","tozasertib",0.257536889069454,0.0602275022682388,-0.999998583888485,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","panAURK","Aurora kinase"
"COV413A","COV413A_exp6","sigmoid","cw069",0.257536889069454,32.5262731039896,-0.687395414406566,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"COV413A","COV413A_exp6","sigmoid","bi2536",0.257536889069454,0.00802387369184704,-0.999999967627145,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","panPLK","Polo like kinase"
"COV413A","COV413A_exp6","sigmoid","cfi400945",0.257536889069454,0.000797352592667828,-0.986310554642646,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","PLK4","Polo like kinase"
"COV413A","COV413A_exp6","sigmoid","volasertib",0.257536889069454,0.0242153371656394,-0.999999947387132,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","PLK1","Polo like kinase"
"COV413A","COV413A_exp6","sigmoid","az3146",0.257536889069454,2.3239079555447,-0.999999874344527,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","TTK (MPS1)","SAC component"
"COV413A","COV413A_exp6","sigmoid","gsk923295",0.257536889069454,0.0263475894068132,-0.99999992993233,"COV413A","exp6","noisy data","COV413A",13.6907292,2.876665,7456.782,5.26473,0.032041144,0.060580825,"low","low","JBLAB-25882","other","HGSOC","CENPE","SAC component"
"COV644","COV644_exp3","sigmoid","oxaliplatin",2.20727473121965,789.981762423288,0.686069246922167,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","Oxaliplatin","Alkylating agent"
"COV644","COV644_exp3","sigmoid","paclitaxel",2.20727473121965,0.000445328112571776,0.192031413514843,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","Paclitaxel","Antimicrotubule agent"
"COV644","COV644_exp3","sigmoid","alisertib",2.20727473121965,6.69742589478625,-0.765559142714915,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","AURKA","Aurora kinase"
"COV644","COV644_exp3","sigmoid","barasertib",2.20727473121965,68.310257030911,-0.339986425366645,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","AURKB","Aurora kinase"
"COV644","COV644_exp3","sigmoid","tozasertib",2.20727473121965,13.9623750694494,-0.748078129108808,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","panAURK","Aurora kinase"
"COV644","COV644_exp3","sigmoid","cw069",2.20727473121965,46.1208049185671,-0.629364614515018,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","KIFC1 (HSET)","Centrosome clustering"
"COV644","COV644_exp3","sigmoid","bi2536",2.20727473121965,1.74254069913142,-0.760687769164259,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","panPLK","Polo like kinase"
"COV644","COV644_exp3","sigmoid","cfi400945",2.20727473121965,9.16299338343767,-0.755263091815347,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","PLK4","Polo like kinase"
"COV644","COV644_exp3","sigmoid","volasertib",2.20727473121965,0.63992597186705,-0.746124853629969,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","PLK1","Polo like kinase"
"COV644","COV644_exp3","sigmoid","az3146",2.20727473121965,9.36227785115787,-0.745825491547468,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","TTK (MPS1)","SAC component"
"COV644","COV644_exp3","sigmoid","gsk923295",2.20727473121965,2.02156328258647,-0.741409866505227,"COV644","exp3","","COV644 NL",48.8919797,2.974754,9731.744,6.904347,0.057825293,0.132032261,"high","low","JBLAB-25692","other","mucinous","CENPE","SAC component"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","oxaliplatin",2.24443465241593,15290.2614730395,0.791332837673465,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","Oxaliplatin","Alkylating agent"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","paclitaxel",2.24443465241593,0.000124391268707005,0.112256331656539,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","Paclitaxel","Antimicrotubule agent"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","alisertib",2.24443465241593,2.26141913873146,-0.499583354297849,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","AURKA","Aurora kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","barasertib",2.24443465241593,15.4705334285075,-0.506194448281976,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","AURKB","Aurora kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","tozasertib",2.24443465241593,31.0359236163266,-0.704208447529711,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","panAURK","Aurora kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","cw069",2.24443465241593,74.9426082505384,0.298203095359868,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","bi2536",2.24443465241593,0.0099068010557358,-0.752876546418986,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","panPLK","Polo like kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","cfi400945",2.24443465241593,11.3516778870194,-0.726893566402378,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","PLK4","Polo like kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","volasertib",2.24443465241593,0.0278604294089671,-0.750167613007673,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","PLK1","Polo like kinase"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","az3146",2.24443465241593,8.95586908998265,-0.7410095753065,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","TTK (MPS1)","SAC component"
"NIH-OVCAR3","NIH-OVCAR3_exp2","sigmoid","gsk923295",2.24443465241593,0.0229005552370937,-0.720913474698341,"NIH-OVCAR3","exp2","","NIH:OVCAR3",38.4667145,2.946121,11763.699,18.228516,0.067213094,NA,"high","high","JBLAB-25885","HGSOC","HGSOC","CENPE","SAC component"
"OV90","OV90_exp3","sigmoid","oxaliplatin",2.63866733793022,Inf,0.638029086629966,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","Oxaliplatin","Alkylating agent"
"OV90","OV90_exp3","sigmoid","paclitaxel",2.63866733793022,0.000516910334698079,0.37948490811382,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","Paclitaxel","Antimicrotubule agent"
"OV90","OV90_exp3","sigmoid","alisertib",2.63866733793022,4.62779581406435,-0.494031459968453,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","AURKA","Aurora kinase"
"OV90","OV90_exp3","sigmoid","barasertib",2.63866733793022,24.6764755920481,-0.407510983225808,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","AURKB","Aurora kinase"
"OV90","OV90_exp3","sigmoid","tozasertib",2.63866733793022,5.84703872658588,-0.589698396036065,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","panAURK","Aurora kinase"
"OV90","OV90_exp3","sigmoid","cw069",2.63866733793022,53.1732434269336,-0.158005961996373,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"OV90","OV90_exp3","sigmoid","bi2536",2.63866733793022,0.0377226347662181,-0.660855587262723,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","panPLK","Polo like kinase"
"OV90","OV90_exp3","sigmoid","cfi400945",2.63866733793022,7.02456977288599,-0.539129734409484,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","PLK4","Polo like kinase"
"OV90","OV90_exp3","sigmoid","volasertib",2.63866733793022,0.0729285155121308,-0.644730280397804,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","PLK1","Polo like kinase"
"OV90","OV90_exp3","sigmoid","az3146",2.63866733793022,7.09840098649412,-0.641919694835372,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","TTK (MPS1)","SAC component"
"OV90","OV90_exp3","sigmoid","gsk923295",2.63866733793022,0.812310466887915,-0.643634353375791,"OV90","exp3","","OV-90",37.5116943,2.880616,9816.847,24.54386,0.07351135,0.027473001,"high","high","JBLAB-25675","HGSOC","HGSOC","CENPE","SAC component"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","oxaliplatin",1.27934554989379,37.1999702538266,0.106752744416653,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","Oxaliplatin","Alkylating agent"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","paclitaxel",1.27934554989379,Inf,0.82088528033132,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","Paclitaxel","Antimicrotubule agent"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","alisertib",1.27934554989379,7.02632264383036,-0.402530667805436,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","AURKA","Aurora kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","barasertib",1.27934554989379,69.4572816555167,-0.348004770117876,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","AURKB","Aurora kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","tozasertib",1.27934554989379,9.42752014570614,-0.691532740853453,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","panAURK","Aurora kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","cw069",1.27934554989379,37.1110972272559,-0.505149140291814,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","KIFC1 (HSET)","Centrosome clustering"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","bi2536",1.27934554989379,0.0595547971530968,-0.942546356156788,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","panPLK","Polo like kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","cfi400945",1.27934554989379,7.0928678550529,-0.437166682197436,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","PLK4","Polo like kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","volasertib",1.27934554989379,0.124522417283081,-0.929733218324211,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","PLK1","Polo like kinase"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","az3146",1.27934554989379,11.5765268565388,-0.946513097697478,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","TTK (MPS1)","SAC component"
"OV90(mesmasson)","OV90(mesmasson)_exp6","sigmoid","gsk923295",1.27934554989379,7.24360744826782,-0.938017266968098,"OV90(mesmasson)","exp6","","OV-90(MesMasson)",50.4431001,2.845031,11295.272,16.09045,0.047056442,0.027649332,"high","high","JBLAB-25900","HGSOC","HGSOC","CENPE","SAC component"
"OVCAR5","OVCAR5_exp3","sigmoid","oxaliplatin",4.45783829866384,137.632039480467,0.559453587205645,"OVCAR5","exp3","","OVCAR-5",14.5843483,2.977567,8134.299,3.301916,0.02873701,0.047856165,"low","low","JBLAB-25892","unknown","unknown","Oxaliplatin","Alkylating agent"
"OVCAR5","OVCAR5_exp3","sigmoid","paclitaxel",4.45783829866384,0.000267124878379291,0.131616756674666,"OVCAR5","exp3","","OVCAR-5",14.5843483,2.977567,8134.299,3.301916,0.02873701,0.047856165,"low","low","JBLAB-25892","unknown","unknown","Paclitaxel","Antimicrotubule agent"
"OVCAR5","OVCAR5_exp3","sigmoid","alisertib",4.45783829866384,7.29533810551902,-0.222766365854453,"OVCAR5","exp3","","OVCAR-5",14.5843483,2.977567,8134.299,3.301916,0.02873701,0.047856165,"low","low","JBLAB-25892","unknown","unknown","AURKA","Aurora kinase"
"OVCAR5","OVCAR5_exp3","sigmoid","barasertib",4.45783829866384,35.8910022840735,-0.310177282113976,"OVCAR5","exp3","","OVCAR-5",14.5843483,2.977567,8134.299,3.301916,0.02873701,0.047856165,"low","low","JBLAB-25892","unknown","unknown","AURKB","Aurora kinase"
"OVCAR5","OVCAR5_exp3","sigmoid","tozasertib",4.45783829866384,5.95532106939278,-0.347859514014242,"OVCAR5","exp3","","OVCAR-5",14.5843483,2.977567,8134.299,3.301916,0.02873701,0.047856165,"low","low","JBLAB-25892","unknown","unknown","panAURK","Aurora kinase"
